incident_id,name,start_date,end_date,incident_type,receiver_country,receiver_regions,receiver_category,receiver_subcategory,initiator_name,initiator_country,initiator_category,initiator_subcategory,attribution_type,attributing_actor,cyber_conflict_issue,zero_days,mitre_initial_access,mitre_impact,has_disruption,data_theft,hijacking,impact_indicator_score,functional_impact,intelligence_impact,economic_impact_value,response_indicator,start_year
2894,State-sponsored North Korean hacker group Andariel stole sensitive information from South Korean defense companies as well as research institutes and pharmaceutical companies since at least 22 December 2022,2022-12-22,2023-03-23,"Data theft, Hijacking with Misuse, Ransomware",South Korea,"ASIA, SCS, NEA",Critical infrastructure,"Defence industry, Health, Research","Andariel/APT45/Onyx Sleet fka PLUTONIUM/Silent Chollima/Stonefly/G0138/DarkSeoul < Lazarus Group/Labyrinth Chollima/HIDDEN COBRA/Guardians of Peace/Diamond Sleet fka ZINC/NICKEL ACADEMY/NewRomanic Cyber Army Team/Whois Hacking Team/Appleworm/Group 77/G0032 (Reconnaissance General Bureau, Bureau 121, Unit 180, Lab 110)",North Korea,State affiliated actor,Not available,Political statement / report,Federal Bureau of Investigation (FBI),International power,No,Not available,Data Exfiltration,False,Sensitive information,System Misuse,7,No system interference/disruption,Corruption / Major Breach,0,Countermeasures,2022.0
2892,"North Korean state-sponsored hacker group Lazarus targeted companies in manufacturing, agriculture and physical security sectors with new malware families as part of operation 'Blacksmith' since March 2023",2023-03-01,,"Data theft, Hijacking with Misuse","Europe (region), South Korea, South America","ASIA, SCS, NEA","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition), Critical infrastructure",Food,"Andariel/APT45/Onyx Sleet fka PLUTONIUM/Silent Chollima/Stonefly/G0138/DarkSeoul < Lazarus Group/Labyrinth Chollima/HIDDEN COBRA/Guardians of Peace/Diamond Sleet fka ZINC/NICKEL ACADEMY/NewRomanic Cyber Army Team/Whois Hacking Team/Appleworm/Group 77/G0032 (Reconnaissance General Bureau, Bureau 121, Unit 180, Lab 110)",North Korea,State affiliated actor,Not available,Technical report,Cisco Talos Intelligence,Unknown,No,Exploit Public-Facing Application,Data Exfiltration,False,Non-sensitive information,System Misuse,6,No system interference/disruption,Minor Breach,0,Countermeasures,2023.0
2890,Unknown hackers stole and leaked data from Turkish e-government portal in June 2023,2023-06-01,,"Data theft & Doxing, Hijacking with Misuse",Turkey,"ASIA, NATO, MEA",State institutions / political system,Civil service / administration,Not attributed,Not attributed,Not attributed,Not available,Not available,Not available,Unknown,No,Not available,Data Exfiltration,False,Sensitive information,System Misuse,9,No system interference/disruption,Major Breach + Corruption,0,Unfriendly Acts / Retorsions,2023.0
2886,Russian state-sponsored Callisto group conducted Spear-phishing campaign against US Department of Energy beginning in May 2022,2022-05-01,,"Data theft, Hijacking with Misuse",United States,"NATO, NORTHAM",State institutions / political system,Government / ministries,"Star Blizzard fka SEABORGIUM/Callisto Group/TA446/COLDRIVER/TAG:53/Blue Charlie/Reuse Team (FSB Centre 18, Unit 64829)",Russia,State affiliated actor,Not available,Domestic legal action,US Department of Justice (DoJ),"System / ideology, International power",No,Phishing,Data Exfiltration,False,Non-sensitive information,System Misuse,6,No system interference/disruption,Minor Breach,0,Countermeasures,2022.0
2885,Russian state-sponsored Callisto group conducted Spear-phishing campaign against several US defence institutions,2020-04-01,,"Data theft, Hijacking with Misuse",United States,"NATO, NORTHAM","State institutions / political system, Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Government / ministries, Intelligence agencies","Star Blizzard fka SEABORGIUM/Callisto Group/TA446/COLDRIVER/TAG:53/Blue Charlie/Reuse Team (FSB Centre 18, Unit 64829)",Russia,State affiliated actor,Not available,Domestic legal action,US Department of Justice (DoJ),"System / ideology, International power",No,Phishing,Data Exfiltration,False,Non-sensitive information,System Misuse,6,No system interference/disruption,Minor Breach,0,Countermeasures,2020.0
2883,Akira Ransomware Group Disrupted Several Systems of Nissan Oceania and Stole Data on 5 December 2023,2023-12-05,,"Data theft, Disruption, Hijacking with Misuse, Ransomware",Australia,OC,Critical infrastructure,Critical Manufacturing,Akira Ransomware Group/Storm-1567,Unknown,Non-state-group,Criminal(s),Media statement / Social media,Not available,Unknown,No,Not available,Data Exfiltration,True,Non-sensitive information,System Misuse,9,Weeks (< 4 weeks),Minor Breach,0,Unfriendly Acts / Retorsions,2023.0
2882,North Korean State-Sponsored Hacking Group Kimsuky Infiltrated South Korean Research Institutes to Steal Information for an Undisclosed Period of Time ,2023-01-01,,"Data theft, Hijacking with Misuse",South Korea,"ASIA, SCS, NEA",Critical infrastructure,Research,Kimsuky/Velvet Chollima/STOLEN PENCIL/Emerald Sleet fka THALLIUM/Black Banshee/G0094,North Korea,State affiliated actor,Non-state group(state-affiliation suggested),Technical report,AhnLab,"System / ideology, Territory, International power",No,Phishing,Data Exfiltration,False,Non-sensitive information,System Misuse,6,No system interference/disruption,Minor Breach,0,Countermeasures,2023.0
2881,Play Ransomware group disrupted Greater Richmond Transit Company in late November 2023,2023-11-01,,"Disruption, Hijacking with Misuse, Ransomware",United States,"NATO, NORTHAM",Critical infrastructure,Transportation,PLAY,Unknown,Non-state-group,Criminal(s),Self-attribution,PLAY,Unknown,No,Not available,Not available,True,Not available,System Misuse,7,Days (< 7 days),No Impact,0,Unfriendly Acts / Retorsions,2023.0
2879,Russian state-sponsored hacking group Seashell Blizzard (aka Sandworm) gained access to and disrupted networks of organisations linked to Ukrainian agricultural sector beginning on 25 July 2023,2023-07-25,2023-08-02,"Disruption, Hijacking with Misuse",Ukraine,"EUROPE, EASTEU","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition), Critical infrastructure",Food,"Sandworm/APT44/VOODOO Bear/Quedagh/TeleBots/FROZENBARENTS/IRON VIKING/Black Energy/Seashell Blizzard fka IRIDIUM/ELECTRUM/G0034 (GRU, Main Centre for Special Technologies (GTsST) Military Unit 74455)",Russia,State affiliated actor,Non-state group(state-affiliation suggested),Technical report,Microsoft,"System / ideology, Territory, Resources, International power",No,Not available,Data Destruction,True,Not available,System Misuse,9,Days (< 7 days),Corruption / Major Breach,0,Countermeasures,2023.0
2878,Polish train manufacturer Newag SA suspected of installing programming errors in its own trains since 2022,2022-01-01,,"Disruption, Hijacking with Misuse",Poland,"EUROPE, NATO, EU, EASTEU",Critical infrastructure,Transportation,Newag SA,Poland,Other,Not available,Technical report,Dragon Sector,Other,No,Trusted Relationship,System Shutdown/Reboot,True,Not available,System Misuse,9,Months,No Impact,0,No Response,2022.0
2877,Russian state-sponsored hacking group Aqua Blizzard aka Gamaredon exfiltrated data of organisations linked to Ukrainian agricultural industry between June and July 2023,2023-06-01,,"Data theft, Hijacking with Misuse",Ukraine,"EUROPE, EASTEU",Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition),Not available,"Gamaredon/Shuckworm/BlueAlpha/Aqua Blizzard fka ACTINIUM, DEV-0157/Primitive Bear/Armageddon/UNC530/G0047 (FSB Centre 18, Crimea)",Russia,State affiliated actor,Non-state group(state-affiliation suggested),Technical report,Microsoft,"System / ideology, Territory, Resources, International power",No,Not available,Data Exfiltration,False,Non-sensitive information,System Misuse,6,No system interference/disruption,Minor Breach,0,Countermeasures,2023.0
